run,loss_type,learning_rate,grpo_step,loss,grad_norm,token_entropy,train_answer_accuracy,train_format_accuracy
reinforce_with_baseline,reinforce_with_baseline,4e-05,71,-0.0006428612823583535,0.16015625,0.05403757095336914,0.4921875,0.80078125
reinforce_with_baseline,reinforce_with_baseline,4e-05,72,-4.572157877191785e-05,0.1396484375,0.04115915298461914,0.7421875,0.8203125
reinforce_with_baseline,reinforce_with_baseline,4e-05,73,-0.0006356361745929462,0.228515625,0.03616619110107422,0.6875,0.89453125
reinforce_with_baseline,reinforce_with_baseline,4e-05,74,-0.00037372837323346175,0.185546875,0.035452842712402344,0.71484375,0.828125
reinforce_with_baseline,reinforce_with_baseline,4e-05,75,-0.0011214617588848341,0.19921875,0.02372455596923828,0.83984375,0.89453125
reinforce_with_baseline,reinforce_with_baseline,4e-05,76,-0.0004871408218605211,0.1630859375,0.02623748779296875,0.78125,0.890625
reinforce_with_baseline,reinforce_with_baseline,4e-05,77,-0.00046625223876617383,0.1259765625,0.030996322631835938,0.6015625,0.8125
reinforce_with_baseline,reinforce_with_baseline,4e-05,78,0.0005227311958151404,0.20703125,0.033640384674072266,0.75390625,0.90234375
reinforce_with_baseline,reinforce_with_baseline,4e-05,79,-0.0006779276236557052,0.1884765625,0.027295589447021484,0.76171875,0.8671875
reinforce_with_baseline,reinforce_with_baseline,4e-05,80,-0.0003904743516613962,0.2099609375,0.03369283676147461,0.7265625,0.91796875
reinforce_with_baseline,reinforce_with_baseline,4e-05,81,1.4760125850443728e-05,0.17578125,0.033429861068725586,0.72265625,0.87890625
reinforce_with_baseline,reinforce_with_baseline,4e-05,82,0.0005611192664218834,0.1767578125,0.030576229095458984,0.75390625,0.91796875
reinforce_with_baseline,reinforce_with_baseline,4e-05,83,-9.456130010221386e-05,0.134765625,0.03067636489868164,0.76953125,0.890625
reinforce_with_baseline,reinforce_with_baseline,4e-05,84,-0.000577778090701031,0.2060546875,0.03218984603881836,0.5546875,0.8359375
reinforce_with_baseline,reinforce_with_baseline,4e-05,85,-0.0004991957650872791,0.166015625,0.022977590560913086,0.71484375,0.91796875
reinforce_with_baseline,reinforce_with_baseline,4e-05,86,-0.00015174201917034225,0.15625,0.021747827529907227,0.75,0.90625
reinforce_with_baseline,reinforce_with_baseline,4e-05,87,0.0001727872831907007,0.1650390625,0.020128250122070312,0.87109375,0.96875
reinforce_with_baseline,reinforce_with_baseline,4e-05,88,-0.0027126093409606256,0.2275390625,0.031212806701660156,0.74609375,0.921875
reinforce_with_baseline,reinforce_with_baseline,4e-05,89,-0.00010429531175759621,0.15234375,0.03150177001953125,0.81640625,0.94921875
reinforce_with_baseline,reinforce_with_baseline,4e-05,90,-0.0008488787607348058,0.12890625,0.020700454711914062,0.89453125,0.95703125
reinforce_with_baseline,reinforce_with_baseline,4e-05,91,0.0004314431707825861,0.17578125,0.028208494186401367,0.65234375,0.88671875
reinforce_with_baseline,reinforce_with_baseline,4e-05,92,-0.0010670907245184935,0.2275390625,0.03130030632019043,0.61328125,0.859375
reinforce_with_baseline,reinforce_with_baseline,4e-05,93,-0.000851535423862515,0.10693359375,0.022443294525146484,0.80078125,0.8984375
reinforce_with_baseline,reinforce_with_baseline,4e-05,94,-0.001068366920662811,0.2451171875,0.026359081268310547,0.76171875,0.875
reinforce_with_baseline,reinforce_with_baseline,4e-05,95,-0.001503794585914875,0.1865234375,0.024325847625732422,0.78515625,0.890625
reinforce_with_baseline,reinforce_with_baseline,4e-05,96,-0.0009630172967263206,0.212890625,0.025683879852294922,0.75,0.89453125
reinforce_with_baseline,reinforce_with_baseline,4e-05,97,-0.0014042359844097518,0.236328125,0.02749776840209961,0.71875,0.8984375
reinforce_with_baseline,reinforce_with_baseline,4e-05,98,-0.00030819470794085646,0.1494140625,0.023929119110107422,0.73828125,0.90625
reinforce_with_baseline,reinforce_with_baseline,4e-05,99,-0.001983524693059735,0.4453125,0.02566051483154297,0.78125,0.94140625
reinforce_with_baseline,reinforce_with_baseline,4e-05,100,-0.0011900079771294259,0.189453125,0.029870986938476562,0.73828125,0.90234375
reinforce_with_baseline,reinforce_with_baseline,4e-05,101,-0.0011060552942581126,0.150390625,0.030333518981933594,0.65625,0.8828125
reinforce_with_baseline,reinforce_with_baseline,4e-05,102,0.001273299336389755,0.216796875,0.0340728759765625,0.75390625,0.95703125
reinforce_with_baseline,reinforce_with_baseline,4e-05,103,0.0005691611286238185,0.171875,0.0322718620300293,0.7421875,0.9453125
reinforce_with_baseline,reinforce_with_baseline,4e-05,104,-0.002859722626453731,0.2119140625,0.031578779220581055,0.78125,0.97265625
reinforce_with_baseline,reinforce_with_baseline,4e-05,105,-0.0037176117020862876,0.251953125,0.034328460693359375,0.75390625,0.97265625
reinforce_with_baseline,reinforce_with_baseline,4e-05,106,-0.001451775802706834,0.203125,0.03336358070373535,0.76171875,0.97265625
reinforce_with_baseline,reinforce_with_baseline,4e-05,107,-0.0010120548504346516,0.1611328125,0.03129720687866211,0.7578125,0.95703125
reinforce_with_baseline,reinforce_with_baseline,4e-05,108,0.0008172153266059468,0.2265625,0.035626888275146484,0.65234375,0.94921875
reinforce_with_baseline,reinforce_with_baseline,4e-05,109,-0.0018810454639606178,0.205078125,0.03409099578857422,0.671875,0.96484375
reinforce_with_baseline,reinforce_with_baseline,4e-05,110,-0.004658167027628224,0.2734375,0.031051158905029297,0.7734375,0.95703125
reinforce_with_baseline,reinforce_with_baseline,4e-05,111,-0.0012144927568442654,0.24609375,0.032190799713134766,0.578125,0.91796875
reinforce_with_baseline,reinforce_with_baseline,4e-05,112,-0.0005783755486845621,0.154296875,0.027015209197998047,0.703125,0.91796875
reinforce_with_baseline,reinforce_with_baseline,4e-05,113,-0.0017389723630003573,0.2041015625,0.025835037231445312,0.7734375,0.953125
reinforce_with_baseline,reinforce_with_baseline,4e-05,114,-0.0011513400922922301,0.142578125,0.02473902702331543,0.7421875,0.921875
reinforce_with_baseline,reinforce_with_baseline,4e-05,115,-0.0003298795490991324,0.2294921875,0.029997825622558594,0.7265625,0.921875
reinforce_with_baseline,reinforce_with_baseline,4e-05,116,-0.00127257682288473,0.2373046875,0.027776718139648438,0.64453125,0.8671875
reinforce_with_baseline,reinforce_with_baseline,4e-05,117,-0.00034705662437772844,0.1513671875,0.027241230010986328,0.7890625,0.9296875
reinforce_with_baseline,reinforce_with_baseline,4e-05,118,0.0006790675888623809,0.224609375,0.026214599609375,0.71875,0.91015625
reinforce_with_baseline,reinforce_with_baseline,4e-05,119,-0.00045581500216940185,0.171875,0.02619647979736328,0.77734375,0.9296875
reinforce_with_baseline,reinforce_with_baseline,4e-05,120,-0.0020454539935599314,0.166015625,0.035262107849121094,0.6015625,0.921875
reinforce_with_baseline,reinforce_with_baseline,4e-05,121,-0.0019884812827513088,0.1591796875,0.028631210327148438,0.7421875,0.859375
reinforce_with_baseline,reinforce_with_baseline,4e-05,122,-0.0006183968916957383,0.1796875,0.027100563049316406,0.5234375,0.859375
reinforce_with_baseline,reinforce_with_baseline,4e-05,123,-0.00032800541339383926,0.1396484375,0.02596426010131836,0.66796875,0.82421875
reinforce_with_baseline,reinforce_with_baseline,4e-05,124,-0.0015997679529391462,0.1376953125,0.02181243896484375,0.8984375,0.96875
reinforce_with_baseline,reinforce_with_baseline,4e-05,125,-0.00067366395433055,0.166015625,0.026417016983032227,0.75,0.89453125
reinforce_with_baseline,reinforce_with_baseline,4e-05,126,-0.0009796146584903909,0.1806640625,0.02551722526550293,0.80078125,0.91796875
reinforce_with_baseline,reinforce_with_baseline,4e-05,127,0.0007519396203861106,0.10302734375,0.03102588653564453,0.703125,0.8828125
reinforce_with_baseline,reinforce_with_baseline,4e-05,128,0.0009398200954819913,0.2216796875,0.028890132904052734,0.73046875,0.8671875
reinforce_with_baseline,reinforce_with_baseline,4e-05,129,-0.0019774080737988697,0.240234375,0.027611732482910156,0.7421875,0.90234375
reinforce_with_baseline,reinforce_with_baseline,4e-05,130,0.00022120055564300856,0.1806640625,0.02827739715576172,0.75390625,0.890625
reinforce_with_baseline,reinforce_with_baseline,4e-05,131,0.0002928361009253422,0.1513671875,0.03216075897216797,0.69921875,0.859375
reinforce_with_baseline,reinforce_with_baseline,4e-05,132,-0.0013558145028582658,0.25390625,0.0285491943359375,0.78125,0.921875
reinforce_with_baseline,reinforce_with_baseline,4e-05,133,-0.0005098022120364476,0.1494140625,0.028342008590698242,0.76953125,0.953125
reinforce_with_baseline,reinforce_with_baseline,4e-05,134,-0.0005976692409603857,0.1787109375,0.030677318572998047,0.73046875,0.94140625
reinforce_with_baseline,reinforce_with_baseline,4e-05,135,-0.0002935641109615972,0.189453125,0.025841474533081055,0.77734375,0.90625
reinforce_with_baseline,reinforce_with_baseline,4e-05,136,-7.850095244066324e-05,0.138671875,0.023457050323486328,0.796875,0.90234375
reinforce_with_baseline,reinforce_with_baseline,4e-05,137,-0.0008265920059784548,0.205078125,0.0315093994140625,0.7421875,0.92578125
reinforce_with_baseline,reinforce_with_baseline,4e-05,138,-0.00021300820571923396,0.134765625,0.024770736694335938,0.83984375,0.921875
reinforce_with_baseline,reinforce_with_baseline,4e-05,139,-0.00084263195276435,0.1337890625,0.029431819915771484,0.7890625,0.94921875
reinforce_with_baseline,reinforce_with_baseline,4e-05,140,-0.0008230017065216089,0.1376953125,0.041222572326660156,0.59765625,0.82421875
reinforce_with_baseline,reinforce_with_baseline,4e-05,141,-0.0003877763710988802,0.13671875,0.03053569793701172,0.7734375,0.8828125
reinforce_with_baseline,reinforce_with_baseline,4e-05,142,-0.0004807278801308712,0.10791015625,0.036762237548828125,0.7578125,0.890625
reinforce_with_baseline,reinforce_with_baseline,4e-05,143,-0.002164852898204117,0.205078125,0.03135824203491211,0.8203125,0.88671875
reinforce_with_baseline,reinforce_with_baseline,4e-05,144,0.0003604951516535948,0.138671875,0.040552616119384766,0.68359375,0.86328125
