run,phase,role,grpo_step,optimizer_step,rollout_epoch,token_entropy,grad_norm,loss,clip_fraction,approx_kl,rollout_avg_response_token_length,rollout_answer_accuracy,rollout_format_accuracy
on_policy_reference_e1_tb256,focused,on_policy_reference,146,146,1,0.05018424987792969,7.84375,-0.28313124763917585,,,313.94921875,0.625,0.97265625
on_policy_reference_e1_tb256,focused,on_policy_reference,147,147,1,0.056529998779296875,14.75,-0.5796986828936497,,,308.265625,0.5859375,0.96875
on_policy_reference_e1_tb256,focused,on_policy_reference,148,148,1,0.05294036865234375,8.3125,-0.2794810775012593,,,343.30859375,0.6953125,0.95703125
on_policy_reference_e1_tb256,focused,on_policy_reference,149,149,1,0.052928924560546875,13.125,-0.5562864411294868,,,380.92578125,0.61328125,0.94140625
on_policy_reference_e1_tb256,focused,on_policy_reference,150,150,1,0.05295848846435547,9.6875,-0.7175623104994884,,,352.82421875,0.6640625,0.9609375
on_policy_reference_e1_tb256,focused,on_policy_reference,151,151,1,0.06207084655761719,13.75,-0.49900997545046266,,,344.4453125,0.62890625,0.96875
on_policy_reference_e1_tb256,focused,on_policy_reference,152,152,1,0.05225944519042969,16.125,-0.5317459379439242,,,366.3125,0.6640625,0.96875
on_policy_reference_e1_tb256,focused,on_policy_reference,153,153,1,0.07630014419555664,8.5625,-0.23147840483579785,,,285.80859375,0.78515625,0.97265625
on_policy_reference_e1_tb256,focused,on_policy_reference,154,154,1,0.0560915470123291,10.8125,-0.15746926261635963,,,349.53515625,0.6953125,0.9609375
on_policy_reference_e1_tb256,focused,on_policy_reference,155,155,1,0.05749034881591797,21.25,0.4924890141701326,,,308.046875,0.67578125,0.95703125
on_policy_reference_e1_tb256,focused,on_policy_reference,156,156,1,0.05323004722595215,33.5,-0.6115451445803046,,,322.51953125,0.7421875,0.91796875
on_policy_reference_e1_tb256,focused,on_policy_reference,157,157,1,0.03986167907714844,14.4375,0.17701828706776723,,,457.87109375,0.63671875,0.8515625
on_policy_reference_e1_tb256,focused,on_policy_reference,158,158,1,0.04293990135192871,26.25,0.40579167346004397,,,360.53125,0.73828125,0.890625
on_policy_reference_e1_tb256,focused,on_policy_reference,159,159,1,0.04206657409667969,22.0,-0.6167388740432216,,,429.41015625,0.54296875,0.87890625
on_policy_reference_e1_tb256,focused,on_policy_reference,160,160,1,0.03934001922607422,9.25,-0.28110026827198453,,,462.08984375,0.53515625,0.81640625
on_policy_reference_e1_tb256,focused,on_policy_reference,161,161,1,0.04659080505371094,16.625,0.28012582832889166,,,386.53515625,0.69921875,0.8984375
on_policy_reference_e1_tb256,focused,on_policy_reference,162,162,1,0.04926252365112305,10.0,-0.03629441075372597,,,286.953125,0.734375,0.95703125
on_policy_reference_e1_tb256,focused,on_policy_reference,163,163,1,0.04162311553955078,9.875,-0.09617207470000722,,,368.328125,0.7421875,0.8828125
on_policy_reference_e1_tb256,focused,on_policy_reference,164,164,1,0.049983978271484375,16.75,-0.14000682309415424,,,394.87109375,0.625,0.86328125
on_policy_reference_e1_tb256,focused,on_policy_reference,165,165,1,0.05443620681762695,7.46875,-0.2647829157867818,,,360.3984375,0.6015625,0.8515625
on_policy_reference_e1_tb256,focused,on_policy_reference,166,166,1,0.0475926399230957,15.9375,-0.05658788014261518,,,353.45703125,0.68359375,0.91015625
