run,grpo_step,answer_accuracy,format_accuracy,avg_response_token_length,rollout_seconds
final_on_policy_lr4e-5_400_full_eval,211,0.6953125,0.921875,465.99609375,12.013763189315796
final_on_policy_lr4e-5_400_full_eval,212,0.79296875,0.94921875,426.3828125,11.18416714668274
final_on_policy_lr4e-5_400_full_eval,213,0.8046875,0.984375,369.6484375,10.135231018066406
final_on_policy_lr4e-5_400_full_eval,214,0.64453125,0.9609375,431.78515625,11.360819578170776
final_on_policy_lr4e-5_400_full_eval,215,0.82421875,0.96484375,377.6328125,10.151515007019043
final_on_policy_lr4e-5_400_full_eval,216,0.79296875,0.95703125,352.59765625,9.727888107299805
final_on_policy_lr4e-5_400_full_eval,217,0.765625,0.984375,367.82421875,10.090411186218262
final_on_policy_lr4e-5_400_full_eval,218,0.65625,0.90234375,482.51953125,12.622506856918335
final_on_policy_lr4e-5_400_full_eval,219,0.80859375,0.96875,417.07421875,11.24787449836731
final_on_policy_lr4e-5_400_full_eval,220,0.828125,0.984375,319.15234375,9.304545164108276
final_on_policy_lr4e-5_400_full_eval,221,0.74609375,0.95703125,418.9296875,11.540376901626587
final_on_policy_lr4e-5_400_full_eval,222,0.7890625,0.95703125,428.5546875,11.559470891952515
final_on_policy_lr4e-5_400_full_eval,223,0.8203125,0.98046875,377.90234375,10.56690001487732
final_on_policy_lr4e-5_400_full_eval,224,0.71484375,0.90625,491.16015625,12.519601345062256
final_on_policy_lr4e-5_400_full_eval,225,0.91015625,0.99609375,351.421875,9.783583879470825
final_on_policy_lr4e-5_400_full_eval,226,0.7734375,0.93359375,422.11328125,10.955814599990845
final_on_policy_lr4e-5_400_full_eval,227,0.6875,0.9140625,429.88671875,11.140032768249512
final_on_policy_lr4e-5_400_full_eval,228,0.6640625,0.90234375,461.25390625,11.970622539520264
final_on_policy_lr4e-5_400_full_eval,229,0.75,0.9453125,413.01953125,10.93441915512085
final_on_policy_lr4e-5_400_full_eval,230,0.82421875,0.9921875,398.31640625,10.717281579971313
final_on_policy_lr4e-5_400_full_eval,231,0.6328125,0.921875,456.03125,11.792938232421875
final_on_policy_lr4e-5_400_full_eval,232,0.765625,0.88671875,438.41015625,11.248332500457764
final_on_policy_lr4e-5_400_full_eval,233,0.8046875,0.953125,424.6171875,11.213892936706543
final_on_policy_lr4e-5_400_full_eval,234,0.76953125,0.9453125,425.27734375,11.331080913543701
final_on_policy_lr4e-5_400_full_eval,235,0.69921875,0.92578125,468.62109375,12.00214171409607
final_on_policy_lr4e-5_400_full_eval,236,0.8671875,0.95703125,453.01953125,11.483017206192017
final_on_policy_lr4e-5_400_full_eval,237,0.73046875,0.93359375,507.33203125,12.819336652755737
final_on_policy_lr4e-5_400_full_eval,238,0.734375,0.921875,458.17578125,11.508670091629028
final_on_policy_lr4e-5_400_full_eval,239,0.6484375,0.890625,457.9375,12.641703367233276
final_on_policy_lr4e-5_400_full_eval,240,0.76953125,0.953125,478.49609375,12.12677812576294
final_on_policy_lr4e-5_400_full_eval,241,0.81640625,0.9453125,438.9453125,13.2380952835083
final_on_policy_lr4e-5_400_full_eval,242,0.69140625,0.9375,485.3125,12.474791765213013
final_on_policy_lr4e-5_400_full_eval,243,0.640625,0.88671875,524.6015625,13.69875979423523
final_on_policy_lr4e-5_400_full_eval,244,0.79296875,0.984375,409.37109375,11.083616256713867
final_on_policy_lr4e-5_400_full_eval,245,0.875,0.9765625,414.16015625,11.039438962936401
final_on_policy_lr4e-5_400_full_eval,246,0.80078125,0.94921875,459.83203125,11.740399360656738
final_on_policy_lr4e-5_400_full_eval,247,0.796875,0.9609375,412.796875,10.707375288009644
final_on_policy_lr4e-5_400_full_eval,248,0.75,0.93359375,478.49609375,12.576329231262207
final_on_policy_lr4e-5_400_full_eval,249,0.7890625,0.953125,429.46875,11.112550735473633
final_on_policy_lr4e-5_400_full_eval,250,0.7890625,0.91796875,434.35546875,11.426389455795288
final_on_policy_lr4e-5_400_full_eval,251,0.73828125,0.953125,476.34375,12.090321779251099
final_on_policy_lr4e-5_400_full_eval,252,0.94921875,0.98828125,397.21875,10.333869934082031
final_on_policy_lr4e-5_400_full_eval,253,0.66796875,0.921875,476.875,13.049443006515503
final_on_policy_lr4e-5_400_full_eval,254,0.73828125,0.96484375,483.703125,13.222034215927124
final_on_policy_lr4e-5_400_full_eval,255,0.73828125,0.984375,394.25,10.678165197372437
final_on_policy_lr4e-5_400_full_eval,256,0.7578125,0.89453125,453.79296875,12.008399486541748
final_on_policy_lr4e-5_400_full_eval,257,0.6953125,0.94921875,475.96484375,12.134555339813232
final_on_policy_lr4e-5_400_full_eval,258,0.8046875,0.9765625,457.2734375,12.60896921157837
final_on_policy_lr4e-5_400_full_eval,259,0.74609375,0.9453125,463.52734375,12.810914278030396
final_on_policy_lr4e-5_400_full_eval,260,0.8046875,0.9609375,408.03125,11.324112176895142
final_on_policy_lr4e-5_400_full_eval,261,0.69921875,0.90234375,469.46484375,12.739814519882202
final_on_policy_lr4e-5_400_full_eval,262,0.71875,0.953125,425.17578125,11.840139865875244
final_on_policy_lr4e-5_400_full_eval,263,0.85546875,0.96484375,388.19140625,33.33172583580017
final_on_policy_lr4e-5_400_full_eval,264,0.75390625,0.91796875,462.49609375,11.896671056747437
final_on_policy_lr4e-5_400_full_eval,265,0.74609375,0.9375,460.03125,12.377574682235718
final_on_policy_lr4e-5_400_full_eval,266,0.71484375,0.92578125,454.2421875,12.8701753616333
final_on_policy_lr4e-5_400_full_eval,267,0.68359375,0.953125,413.3046875,10.951422929763794
final_on_policy_lr4e-5_400_full_eval,268,0.84765625,0.9765625,377.875,10.242722511291504
final_on_policy_lr4e-5_400_full_eval,269,0.68359375,0.953125,450.4453125,35.58726263046265
final_on_policy_lr4e-5_400_full_eval,270,0.6171875,0.9375,463.9609375,11.942774534225464
final_on_policy_lr4e-5_400_full_eval,271,0.765625,0.94140625,435.77734375,11.278080224990845
final_on_policy_lr4e-5_400_full_eval,272,0.76953125,0.9375,400.703125,10.84550952911377
final_on_policy_lr4e-5_400_full_eval,273,0.89453125,0.97265625,413.33203125,10.678761720657349
final_on_policy_lr4e-5_400_full_eval,274,0.84375,0.97265625,422.74609375,10.972668886184692
final_on_policy_lr4e-5_400_full_eval,275,0.81640625,0.96484375,358.51953125,10.018476724624634
final_on_policy_lr4e-5_400_full_eval,276,0.78515625,0.97265625,417.109375,10.881534099578857
final_on_policy_lr4e-5_400_full_eval,277,0.83203125,1.0,308.75,8.9353187084198
final_on_policy_lr4e-5_400_full_eval,278,0.6484375,0.95703125,408.20703125,10.66003680229187
final_on_policy_lr4e-5_400_full_eval,279,0.6875,0.921875,461.984375,11.55488657951355
final_on_policy_lr4e-5_400_full_eval,280,0.61328125,0.9453125,462.1875,11.821276664733887
final_on_policy_lr4e-5_400_full_eval,281,0.81640625,0.97265625,381.0625,10.539924144744873
final_on_policy_lr4e-5_400_full_eval,282,0.73828125,0.96875,396.35546875,38.44806504249573
